Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
存刃,Tồn Nhận,,,,tên riêng (tự điền)
孟波,Mạnh Ba,,,,tên riêng (tự điền)
季六白,Quý Lục Bạch,,,,tên riêng (tự điền)
季风,Quý Phong,,,,tên riêng (tự điền)
孤单的日灵,<ano=Lonely Soliskin>Nhật Linh Cô Đơn</ano>,,,,tên riêng (tự điền)
孤独的人,Người cô đơn,,,,tên riêng (tự điền)
孤鸿,{0},,,,tên riêng (tự điền)
学妹,Đàn Em,,,,tên riêng (tự điền)
学委会理事,Ủy Viên Hội Đồng Học Thuật,,,,tên riêng (tự điền)
学徒,Lv.0,,,,tên riêng (tự điền)
学术委员会督导,Giám Sát Ủy Ban Học Thuật,,,,tên riêng (tự điền)
学生,Học Sinh,,,,tên riêng (tự điền)
学生A,Học Sinh A,,,,tên riêng (tự điền)
学生B,Học Sinh B,,,,tên riêng (tự điền)
学生们,Các Học Sinh,,,,tên riêng (tự điền)
学生会成员,Thành Viên Hội Học Sinh,,,,tên riêng (tự điền)
学生会长,Hội Trưởng Hội Học Sinh,,,,tên riêng (tự điền)
学生志愿者,Học Sinh Tình Nguyện,,,,tên riêng (tự điền)
学生服的女孩【D】,Cô Gái Mặc Đồng Phục Học Sinh [D],,,,tên riêng (tự điền)
学生波仔,Bozai Học Sinh,,,,tên riêng (tự điền)
学长,Tiền Bối,,,,tên riêng (tự điền)
学长的猫,Mèo Của Tiền Bối,,,,tên riêng (tự điền)
学院女学生,Nữ Sinh Học Viện,,,,tên riêng (tự điền)
学院女学生A,Nữ Sinh Học Viện A,,,,tên riêng (tự điền)
学院女学生B,Nữ Sinh Học Viện B,,,,tên riêng (tự điền)
学院学生,Học sinh <ano=Academy>Học Viện</ano>,,,,tên riêng (tự điền)
学院快讯,Tin Nhanh Học Viện,,,,tên riêng (tự điền)
学院教师,Giáo Viên Học Viện,,,,tên riêng (tự điền)
学院男学生,Nam Sinh Học Viện,,,,tên riêng (tự điền)
学院老师,Giáo Viên Học Viện,,,,tên riêng (tự điền)
孩子们,Bọn Trẻ,,,,tên riêng (tự điền)
孩童,Trẻ Nhỏ,,,,tên riêng (tự điền)
孩童丙,+1,,,,tên riêng (tự điền)
孩童乙,50,,,,tên riêng (tự điền)
孩童甲,Đứa Trẻ A,,,,tên riêng (tự điền)
宁卫,Ninh Vệ,,,,tên riêng (tự điền)
宁子,Ninh Tử,,,,tên riêng (tự điền)
宁彩,Ninh Thải,,,,tên riêng (tự điền)
宁沙,Ninsha,,,,tên riêng (tự điền)
宁湄,Ninh Mi,,,,tên riêng (tự điền)
守卫,Lính gác,,,,tên riêng (tự điền)
守卫A,03,,,,tên riêng (tự điền)
守卫B,Lv.18,,,,tên riêng (tự điền)
守卫乙,Lính Gác B,,,,tên riêng (tự điền)
守卫机器人,Robot Bảo Vệ,,,,tên riêng (tự điền)
守卫流放者,8777,,,,tên riêng (tự điền)
守卫甲,Yangyang,,,,tên riêng (tự điền)
守城的士兵,00,,,,tên riêng (tự điền)
守墓的老兵,Cựu Binh Giữ Mộ,,,,tên riêng (tự điền)
守岸人,Văn bản thử nghiệm,,,,tên riêng (tự điền)
守岸人（通讯中）,Sinh Lực,,,,tên riêng (tự điền)
守峰,Thủ Phong,,,,tên riêng (tự điền)
守门人,Người Gác Cổng,,,,tên riêng (tự điền)
安东,Anton,,,,tên riêng (tự điền)
安东尼,Anthony,,,,tên riêng (tự điền)
安东尼奥,"Công Ước Tiên Hành là Căn Cứ Tiền Phương được xây dựng để thăm dò Giếng Sâu dưới lòng đất của Trạm Nghiên Cứu Nguyên Điểm, tất cả nhân viên đều cần hoàn thành huấn luyện Thích Ứng tại Căn Cứ Tiền Phương và nhận được giấy phép mới có thể xuống giếng thực hiện thăm dò.",,,,tên riêng (tự điền)
安克,Anker,,,,tên riêng (tự điền)
安切洛,Ancelo,,,,tên riêng (tự điền)
安切洛&思澜,Ancelo & Silan,,,,tên riêng (tự điền)
安切洛（通讯中）,Ancelo,,,,tên riêng (tự điền)
安可,1,An'ke,,,tên riêng (tự điền)
安可&小盈,Encore & Ying,,,,tên riêng (tự điền)
安可的回音频段,Nhắc Nhở Cường Hóa,Anke's Reverberation Waveband,,,tên riêng (tự điền)
安可（通讯中）,Encore,,,,tên riêng (tự điền)
安可？,Yangyang,An'ke?,,,tên riêng (tự điền)
安吉尔,Angel,,,,tên riêng (tự điền)
安和,An Hòa,,,,tên riêng (tự điền)
安妮卡,Annika,,,,tên riêng (tự điền)
安妮塔,Anita,,,,tên riêng (tự điền)
安妮斯,Annis,,,,tên riêng (tự điền)
安妮斯顿,Anniston,,,,tên riêng (tự điền)
安娜丽莎,Annalisa,,,,tên riêng (tự điền)
安娜斯塔西娅,Anastasia,,,,tên riêng (tự điền)
安岩,An Nham,,,,tên riêng (tự điền)
安德拉多,Andrade,,,,tên riêng (tự điền)
安德斯,Anders,,,,tên riêng (tự điền)
安德烈,Andreas,,,,tên riêng (tự điền)
安德烈亚,Andrea,,,,tên riêng (tự điền)
安德里亚,Andrea,,,,tên riêng (tự điền)
安德鲁,Andrew,,,,tên riêng (tự điền)
安托万,Antoine,,,,tên riêng (tự điền)
安格,Ange,,,,tên riêng (tự điền)
安格泰图斯,Angartitus,,,,tên riêng (tự điền)
安森,Anson,,,,tên riêng (tự điền)
安涅赛,Agnese,,,,tên riêng (tự điền)
安涅赛（Agnese）,Agnese,,,,tên riêng (tự điền)
安然,An Nhiên,,,,tên riêng (tự điền)
安瑟姆,Anselm,,,,tên riêng (tự điền)
安瑟姆？,Anslem?,,,,tên riêng (tự điền)
安米,Anmi,,,,tên riêng (tự điền)
安纳基斯,Anakis,,,,tên riêng (tự điền)
安菲翁,Amphion,,,,tên riêng (tự điền)
安雅乔,Anyacho,,,,tên riêng (tự điền)
宋明川,Song Mingchuan,,,,tên riêng (tự điền)
完全沉浸的民众,Người Dân Hoàn Toàn Đắm Chìm,,,,tên riêng (tự điền)
完全理解的学生,Học Sinh Hoàn Toàn Hiểu Rõ,,,,tên riêng (tự điền)
宏朗,"<ano=regiment>Đoàn trưởng Lingyang</ano>, lần trước cậu luyện quyền với Tiểu Mi, cuối cùng ai thắng vậy?",,,,tên riêng (tự điền)
宗业,"Yangyang, cậu đi cùng tôi đến phòng thí nghiệm. Tôi muốn tìm hiểu thêm về Ảo Ảnh mà các cậu đã đánh bại.",,,,tên riêng (tự điền)
定均,Định Quân,,,,tên riêng (tự điền)
定安,Định An,,,,tên riêng (tự điền)
定梓,Định Tử,,,,tên riêng (tự điền)
定玄卫,Định Huyền Vệ,,,,tên riêng (tự điền)
定玄卫长（回忆）,Đội Trưởng Định Huyền Vệ (Hồi Ức),,,,tên riêng (tự điền)
定音,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
宛萌,Uyển Manh,,,,tên riêng (tự điền)
宝拉,Pola,,,,tên riêng (tự điền)
宝琳,Pauline,,,,tên riêng (tự điền)
实习厨师顺才,Đầu bếp thực tập Thuận Tài,,,,tên riêng (tự điền)
实习守卫,Lính gác thực tập,,,,tên riêng (tự điền)
实习生,Thực Tập Sinh,,,,tên riêng (tự điền)
实时频道消息,Tin nhắn kênh thời gian thực,,,,tên riêng (tự điền)
实验样本,Mẫu Thí Nghiệm,,,,tên riêng (tự điền)
审讯修士,Tu Sĩ Thẩm Vấn,,,,tên riêng (tự điền)
审讯修士（老年）,Tu Sĩ Thẩm Vấn (Cao Tuổi),,,,tên riêng (tự điền)
审讯教士,Giáo Sĩ Thẩm Vấn,,,,tên riêng (tự điền)
审讯教士（中年）,Giáo Sĩ Thẩm Vấn (Trung Niên),,,,tên riêng (tự điền)
审讯教士（老年）,Giáo Sĩ Thẩm Vấn (Lớn Tuổi),,,,tên riêng (tự điền)
客户,Khách Hàng,,,,tên riêng (tự điền)
宥灵,<ano=fluids>Aalto</ano>,,,,tên riêng (tự điền)
宫岑,Cung Sầm,,,,tên riêng (tự điền)
害怕的女生,Nữ Sinh Sợ Hãi,,,,tên riêng (tự điền)
害怕的小女孩,Bé Gái Sợ Hãi,,,,tên riêng (tự điền)
害怕的小狗,6,,,,tên riêng (tự điền)
害怕的残星会成员,Thành Viên Tàn Tinh Hội Sợ Hãi,,,,tên riêng (tự điền)
害怕的混混,Tên du côn sợ hãi,,,,tên riêng (tự điền)
害怕的青年,Thanh Niên Sợ Hãi,,,,tên riêng (tự điền)
家族乐师,Nhạc Sĩ Gia Tộc,,,,tên riêng (tự điền)
家明,Gia Minh,,,,tên riêng (tự điền)
家长,Lv.,,,,tên riêng (tự điền)
宽慰的角斗士,Đấu Sĩ Khuây Khỏa,,,,tên riêng (tự điền)
宿舍前台,Lễ Tân Ký Túc Xá,,,,tên riêng (tự điền)
寂寞小姐,Tiểu Thư Cô Đơn,,,,tên riêng (tự điền)
寂寞小姐&魔术先生,Tiểu Thư Cô Đơn & Ngài Ảo Thuật,,,,tên riêng (tự điền)
寄寒,Lv.1,,,,tên riêng (tự điền)
寄托着一位老人思念的花朵,Bông hoa gửi gắm nỗi nhớ của một ông lão,,,,tên riêng (tự điền)
寄星,Ký Tinh,,,,tên riêng (tự điền)
密克斯,Miks,,,,tên riêng (tự điền)
密西迪亚,Meredia,,,,tên riêng (tự điền)
富兰克林,Franklin,,,,tên riêng (tự điền)
富尔维娅,Fulvia,,,,tên riêng (tự điền)
富有理想的小说家,Tiểu Thuyết Gia Đầy Lý Tưởng,,,,tên riêng (tự điền)
富里乌斯,Furius,,,,tên riêng (tự điền)
富里乌斯的笔记,Ghi Chép Của Furius,,,,tên riêng (tự điền)
富里乌斯（通讯中）,Furius,,,,tên riêng (tự điền)
寒梅,Hàn Mai,,,,tên riêng (tự điền)
寒溟,<ano=ability>Năng lực</ano> <ano=Forte>Cộng Hưởng</ano> của <ano=Resonator>Cộng Hưởng Giả</ano> lại có thể tạo ra cả một Rừng Cấm khổng lồ đến vậy sao.,,,,tên riêng (tự điền)
寒蚀湾,Speaker_96_Name,Frosting Harbour,,,tên riêng (tự điền)
寒霜,2/10,,,,tên riêng (tự điền)
寝食难安的父亲,Người Cha Ăn Ngủ Không Yên,,,,tên riêng (tự điền)
寡言的买家【影视剪辑】,Người Mua Ít Nói [Biên Tập Phim Ảnh],,,,tên riêng (tự điền)
寡言的教士,1924,,,,tên riêng (tự điền)
寡言的父亲【往日回音】,Người Cha Ít Nói [Tiếng Vọng Quá Khứ],,,,tên riêng (tự điền)
寡言的黑猫【黑之守门人】,Mèo Đen Ít Nói [Người Gác Cổng Đen],,,,tên riêng (tự điền)
对虚实验室人员调动纪要,Biên bản điều động nhân sự Phòng Thí Nghiệm Đối Hư,,,,tên riêng (tự điền)
对话人NPC,NPC Người Nói,,,,tên riêng (tự điền)
对话人自己,Bản Thân Người Nói,,,,tên riêng (tự điền)
寻宝解谜爱好者,1,,,,tên riêng (tự điền)
寻微,Lingyang,,,,tên riêng (tự điền)
寻找孩子的人,Người Đang Tìm Trẻ Con,,,,tên riêng (tự điền)
寻找小皮的研究员,<ano=researchers>Nhà nghiên cứu</ano> đang Tìm Kiếm <ano=Peep>Tiểu Bì</ano>,,,,tên riêng (tự điền)
寻景,Tầm Cảnh,,,,tên riêng (tự điền)
寻遗商人,Phím,,,,tên riêng (tự điền)
寻遗商人机器,Máy Thương Nhân Tìm Di Vật,,,,tên riêng (tự điền)
导游米里亚,Hướng Dẫn Viên Miria,,,,tên riêng (tự điền)
导演手记,Ghi Chép Của Đạo Diễn,,,,tên riêng (tự điền)
导电拓扑晶体,Yangyang,Electro Topological Crystal,,,tên riêng (tự điền)
导电拓扑晶棱,Speaker_148_Name,Electro Topological Prism,,,tên riêng (tự điền)
导电拓扑晶片,1/10,Electro Topological Fragment,,,tên riêng (tự điền)
导电拓扑晶砂,Speaker_144_Name,Electro Topological Sand Crystal,,,tên riêng (tự điền)
导购员波仔,Namipon Hướng Dẫn Mua Hàng,,,,tên riêng (tự điền)
导购波仔,Namipon Hướng Dẫn Mua Hàng,,,,tên riêng (tự điền)
封山,Phong Sơn,,,,tên riêng (tự điền)
封庭械囿,Forbidden Bastion,,,,tên riêng (tự điền)
将信息触板还给阿索斯。,Taoqi,Return the touchpad to Athos.,,,tên riêng (tự điền)
将士们,Các Tướng Sĩ,,,,tên riêng (tự điền)
将晖,Masaki,,,,tên riêng (tự điền)
将生,Tương Sinh,,,,tên riêng (tự điền)
将领,Tướng lĩnh,,,,tên riêng (tự điền)
小不点,Nhóc Tì,,,,tên riêng (tự điền)
小久,Chixia,,,,tên riêng (tự điền)
小乐,Tiểu Nhạc,,,,tên riêng (tự điền)
小九,Cẩn <ano=Heartpour>thận</ano>!,,,,tên riêng (tự điền)
小何,Yangyang,,,,tên riêng (tự điền)
小偷1,Tên Trộm 1,,,,tên riêng (tự điền)
小偷2,Tên Trộm 2,,,,tên riêng (tự điền)
小北,Tiểu Bắc,,,,tên riêng (tự điền)
小卡尤斯,Little Caius,,,,tên riêng (tự điền)
小发,Fa,,,,tên riêng (tự điền)
小吃摊摊主,Chủ Quầy Đồ Ăn Vặt,,,,tên riêng (tự điền)
小咪,Tiểu Mi,,,,tên riêng (tự điền)
小哆,Tiểu Đoá,,,,tên riêng (tự điền)
小型声骸经验道具。,Speaker_607_Name,Small quantity of Echo EXP item.,,,tên riêng (tự điền)
小墨,Yangyang,,,,tên riêng (tự điền)
小奥古斯塔,Bé Augusta,,,,tên riêng (tự điền)
小女孩,8880,,,,tên riêng (tự điền)
小女孩的妈妈,Hoàng Long - Rừng Vô Quang,,,,tên riêng (tự điền)
小女孩的幻影,80,,,,tên riêng (tự điền)
小女孩的爸爸,Yangyang,,,,tên riêng (tự điền)
小孩,Trẻ nhỏ,,,,tên riêng (tự điền)
小孩子,Lv.,,,,tên riêng (tự điền)
小宝,Tiểu Bảo,,,,tên riêng (tự điền)
小家伙,Tiêu hao Nguyên liệu,,,,tên riêng (tự điền)
小小,Kiểm tra Quả Cầu Năng Lượng Hiệp Tấu<subnode=FightConcertoState1/> / <subnode=FightConcertoState2/> / <subnode=FightConcertoState3/>,,,,tên riêng (tự điền)
小帕,TXT,,,,tên riêng (tự điền)
小弟一号,Đàn Em Số 1,,,,tên riêng (tự điền)
小弟二号,Đàn Em Số 2,,,,tên riêng (tự điền)
小心的研究员,Nghiên Cứu Viên Cẩn Thận,,,,tên riêng (tự điền)
小心翼翼的人,Kẻ Cẩn Thận,,,,tên riêng (tự điền)
小恒,888,,,,tên riêng (tự điền)
小托尼,Tony Nhỏ,,,,tên riêng (tự điền)
小拉,Lala,,,,tên riêng (tự điền)
小朋友,Bạn Nhỏ,,,,tên riêng (tự điền)
小机器人,Robot Nhỏ,,,,tên riêng (tự điền)
小杜兰德,Tiểu Durand,,,,tên riêng (tự điền)
小来,Tiểu Rê,,,,tên riêng (tự điền)
小染,15,,,,tên riêng (tự điền)
小树,Tiểu Thụ,,,,tên riêng (tự điền)
小棠,Lingyang,,,,tên riêng (tự điền)
小橘,Tiểu Quất,,,,tên riêng (tự điền)
小橘（通讯中）,Lingyang,,,,tên riêng (tự điền)
小波仔们,Các Bé Namipon,,,,tên riêng (tự điền)
小洛,Loey,,,,tên riêng (tự điền)
小洛可可,Roccia Thuở Nhỏ,,,,tên riêng (tự điền)
小渝,1,,,,tên riêng (tự điền)
小满,Tiểu Mãn,,,,tên riêng (tự điền)
小灰？（山猫妖）,Smokey? (Linh Miêu Yêu),,,,tên riêng (tự điền)
小燕,Tiểu Yến,,,,tên riêng (tự điền)
小牧,Tiểu Mục,,,,tên riêng (tự điền)
小狸,Tiểu Ly,,,,tên riêng (tự điền)
小狼,Tiểu Lang,,,,tên riêng (tự điền)
小玉,Jadie,,,,tên riêng (tự điền)
小玉（通讯）,Jadie (Liên Lạc),,,,tên riêng (tự điền)
小琪妮,Bé Chiani,,,,tên riêng (tự điền)
小琴,Tiểu Cầm,,,,tên riêng (tự điền)
小甲,200,,,,tên riêng (tự điền)
小男孩,Cậu Bé,,,,tên riêng (tự điền)
小男孩A,Cậu Bé A,,,,tên riêng (tự điền)
小男孩B,Cậu Bé B,,,,tên riêng (tự điền)
小皮,<ano=Peep>Tiểu Bì</ano>,,,,tên riêng (tự điền)
小盈,Ying,,,,tên riêng (tự điền)
小穗,Tiểu Tuệ,,,,tên riêng (tự điền)
小米,Mi,,,,tên riêng (tự điền)
小纸条,Mẩu giấy nhỏ,,,,tên riêng (tự điền)
小组成员,Thành Viên Nhóm,,,,tên riêng (tự điền)
小绫,Tiểu Lăng,,,,tên riêng (tự điền)
小绯雪,Tiểu Phỉ Tuyết,,,,tên riêng (tự điền)
小缇娜,Tiểu Tina,,,,tên riêng (tự điền)
小翎,Tiểu Linh,,,,tên riêng (tự điền)
小翼,Tiểu Dực,,,,tên riêng (tự điền)
小花,Yangyang,,,,tên riêng (tự điền)
小苓,Ling,,,,tên riêng (tự điền)
小茂,Shigeru,,,,tên riêng (tự điền)
小莫里亚,Tiểu Moria,,,,tên riêng (tự điền)
小莳,Tiểu Thì,,,,tên riêng (tự điền)
小菲,Tiểu Phỉ,,,,tên riêng (tự điền)
小萄,Tiểu Đào,,,,tên riêng (tự điền)
小蒲,Tiểu Bồ,,,,tên riêng (tự điền)
小诀,Xiaojue,,,,tên riêng (tự điền)
小诗,TD-Action thử,,,,tên riêng (tự điền)
小豆米,Hiệu ứng Bộ Trang Phục,,,,tên riêng (tự điền)
小豉,"Yangyang! Bọn tớ đến… ơ? {PlayerName}, cậu tỉnh rồi à?!",,,,tên riêng (tự điền)
小釉,Lil' You,,,,tên riêng (tự điền)
小钰,"{Male=anh;Female=chị} đã đánh bại phân thân của Vô Quan Giả, so với chị Chixia cũng chẳng kém chút nào!",,,,tên riêng (tự điền)
小长离,Tiểu Changli,,,,tên riêng (tự điền)
小馆,Danjin,,,,tên riêng (tự điền)
小马克,8777,,,,tên riêng (tự điền)
小马可,Sinh Lực,,,,tên riêng (tự điền)
小鸲,Tiểu Cù,,,,tên riêng (tự điền)
小黎,Lee,,,,tên riêng (tự điền)
小龙包,Yangyang,Dragon Dumplings,,,tên riêng (tự điền)
小龙包食谱,Công Thức Nấu Ăn <ano=Dragon Dumplings>Tiểu Long Bao</ano>,Recipe: Dragon Dumplings,,,tên riêng (tự điền)
少女,Thiếu Nữ,Young girl,,,tên riêng (tự điền)
少女A,Thiếu Nữ A,,,,tên riêng (tự điền)
少女们,Các Thiếu Nữ,,,,tên riêng (tự điền)
少女的回响,Âm Vang Của Thiếu Nữ,,,,tên riêng (tự điền)
少女的虚影,Tùy Chọn,,,,tên riêng (tự điền)
少女？,Thiếu Nữ?,,,,tên riêng (tự điền)
少年,1000,,,,tên riêng (tự điền)
尔芙,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
尘封地轨,"x:999.99, y:999.99, z:999.99",Dust-Sealed Track,,,tên riêng (tự điền)
尘封的家书【人文爱好者】,Bức Thư Nhà Phủ Bụi [Người Yêu Văn Hóa],,,,tên riêng (tự điền)
尚云,Thượng Vân,,,,tên riêng (tự điền)
尚席,Thượng Tịch,,,,tên riêng (tự điền)
尚恩,Sean,,,,tên riêng (tự điền)
尚文,Yangyang,,,,tên riêng (tự điền)
尤伦,Youlun,,,,tên riêng (tự điền)
尤利乌斯,Julius,,,,tên riêng (tự điền)
尤利娅,Yulia,,,,tên riêng (tự điền)
尤多基娅,Eudokia,,,,tên riêng (tự điền)
尤妮,Lingyang,,,,tên riêng (tự điền)
尤德,Yude,,,,tên riêng (tự điền)
尤晶,Youjing,,,,tên riêng (tự điền)
尤瑞艾莉,Euryale,,,,tên riêng (tự điền)
尤诺,Juno,,,,tên riêng (tự điền)
尤谢夫松,Josephson,,,,tên riêng (tự điền)
尤金,Eugene,,,,tên riêng (tự điền)
尺福,Thước Phúc,,,,tên riêng (tự điền)
尺衡,Chiheng,,,,tên riêng (tự điền)
尼克罗,Nicolo,,,,tên riêng (tự điền)
尼古拉,Nikola,,,,tên riêng (tự điền)
尼古拉斯,Nikolaus,,,,tên riêng (tự điền)
尼姆,Nimm,,,,tên riêng (tự điền)
尼尔松,Nilsson,,,,tên riêng (tự điền)
尼尔森,34565,,,,tên riêng (tự điền)
尼尔歇姆,Nilshem,,,,tên riêng (tự điền)
尼库斯,Nicus,,,,tên riêng (tự điền)
尼格尔,Nigel,,,,tên riêng (tự điền)
尼禄,Nero,,,,tên riêng (tự điền)
尼科,Nico,,,,tên riêng (tự điền)
尼科斯,Nikos,,,,tên riêng (tự điền)
尼诺,Nino,,,,tên riêng (tự điền)
尼贝格,Nyberg,,,,tên riêng (tự điền)
尼迪,Nidi,,,,tên riêng (tự điền)
居卯,x999,,,,tên riêng (tự điền)
居维叶,Cuvier,,,,tên riêng (tự điền)
